src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.19.0.12,172.19.0.4,51498,9092,6,2025-11-23 19:12:23,0.0,0,0,0,0,2,0,132,0,66,66,66.0,0.0,0,0,0,0.0,66,66,66.0,0.0,0.0,40,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,66.0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,0,0,2,0,132,0
172.19.0.4,172.19.0.12,9092,39730,6,2025-11-23 19:12:23,8.535676,611.3165495035191,6.4435435459359045,4.334747476356881,2.1087960695790233,37,18,2860,2358,88,66,77.29729729729729,10.995981735025742,131,131,131.0,0.0,131,66,94.87272727272727,26.763648715412174,716.2928925619836,740,360,20,19,0.15806807407407406,0.501326,0.0,0.23222537067763477,8.535676,0.501326,0.0,0.23710211111111112,0.24930674411564405,8.534044,0.502882,0.501277,0.5020025882352942,0.0005463842710275611,19,18,0,0,0,0,0,37,55,0,0,0.4864864864864865,94.87272727272727,50476,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.29729729729729,131.0,0,37,18,2860,2358
172.19.0.12,172.19.0.4,39736,9092,6,2025-11-23 19:12:24,7.211331,274.70656942525585,2.2187304951055498,1.5253772153850655,0.6933532797204843,11,5,1527,454,220,66,138.8181818181818,68.17599975173638,107,80,90.8,13.227244611029162,220,66,123.8125,61.200713588568554,3745.52734375,220,100,20,6,0.4807554,3.000883,0.0,0.912841565480144,7.2113309999999995,3.000883,0.0,0.7211330999999999,1.0375814604380178,7.209766,3.001408,0.791453,1.8024414999999998,0.8630419219917709,6,5,0,0,0,0,0,11,16,0,0,0.45454545454545453,123.8125,63,50476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.8181818181818,90.8,0,11,5,1527,454
