src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.19.0.3,172.19.0.4,34696,9092,6,2025-11-25 23:35:58,0.0,0,0,0,0,2,0,132,0,66,66,66.0,0.0,0,0,0,0.0,66,66,66.0,0.0,0.0,40,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,66.0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,0,0,2,0,132,0
172.19.0.4,172.19.0.3,9092,57416,6,2025-11-25 23:35:59,8.541941,610.8681855798349,6.4388175942680945,4.331568199780355,2.10724939448774,37,18,2860,2358,88,66,77.29729729729729,10.995981735025742,131,131,131.0,0.0,131,66,94.87272727272727,26.763648715412174,716.2928925619836,740,360,20,19,0.1581840925925926,0.501459,0.0,0.23218226530555117,8.541941,0.501459,0.0,0.23727613888888888,0.24919133655688852,8.540078,0.503746,0.501338,0.5023575294117648,0.00062153747865294,19,18,0,0,0,0,0,37,55,0,0,0.4864864864864865,94.87272727272727,50476,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.29729729729729,131.0,0,37,18,2860,2358
172.19.0.4,172.19.0.3,9092,55256,6,2025-11-25 23:35:59,8.539701,611.0284189106854,6.4405065235890575,4.332704388596275,2.1078021349927822,37,18,2860,2358,88,66,77.29729729729729,10.995981735025742,131,131,131.0,0.0,131,66,94.87272727272727,26.763648715412174,716.2928925619836,740,360,20,19,0.15814261111111108,0.501055,0.0,0.2321157239150507,8.539700999999999,0.501055,0.0,0.23721391666666664,0.24911808807821048,8.537863,0.503019,0.500989,0.5022272352941175,0.00047542062236096593,19,18,0,0,0,0,0,37,55,0,0,0.4864864864864865,94.87272727272727,50476,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.29729729729729,131.0,0,37,18,2860,2358
172.19.0.3,172.19.0.4,55270,9092,6,2025-11-25 23:36:01,6.113188,326.83437839634576,2.617292319490256,1.799388469649551,0.8179038498407051,11,5,1542,456,223,66,140.1818181818182,69.47179700074265,108,80,91.2,13.717142559585797,223,66,124.875,62.3887760338348,3892.359375,220,100,20,6,0.4075458666666666,3.004647,0.0,0.8738266263964773,6.113188,3.004647,0.0,0.6113188,1.0103411506849358,6.112653,3.005007,0.077822,1.52816325,1.0733917550944236,6,5,0,0,0,0,0,11,16,0,0,0.45454545454545453,124.875,63,50476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.1818181818182,91.2,0,11,5,1542,456
172.19.0.3,172.19.0.4,57430,9092,6,2025-11-25 23:36:01,6.002945,257.7068422249412,2.1656037161759767,1.4992641111987532,0.6663396049772237,9,4,1200,347,220,66,133.33333333333334,61.45278223517992,107,80,86.75,11.691342951089922,220,66,119.0,55.84594193644898,3118.769230769231,180,80,20,5,0.5002454166666667,3.00003,0.0,0.9429430936614944,6.002945,3.00003,0.0,0.750368125,1.0705271752528562,6.002248,3.000584,1.206811,2.0007493333333333,0.746637068881677,5,4,0,0,0,0,0,9,13,0,0,0.4444444444444444,119.0,63,50476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.33333333333334,86.75,0,9,4,1200,347
