src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.19.0.3,172.19.0.4,55234,9092,6,2025-11-23 14:26:20,0.0,0,0,0,0,2,0,132,0,66,66,66.0,0.0,0,0,0,0.0,66,66,66.0,0.0,0.0,40,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,66.0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,0,0,2,0,132,0
172.19.0.4,172.19.0.3,9092,60966,6,2025-11-23 14:26:20,8.539654,611.0317818497095,6.440541970435804,4.3327282346568134,2.1078137357789903,37,18,2860,2358,88,66,77.29729729729729,10.995981735025742,131,131,131.0,0.0,131,66,94.87272727272727,26.763648715412174,716.2928925619836,740,360,20,19,0.15814174074074072,0.501835,0.0,0.23227276534028193,8.539654,0.501835,0.0,0.23721261111111114,0.24933793113711694,8.538223,0.503619,0.501016,0.5022484117647059,0.0006853438002692426,19,18,0,0,0,0,0,37,55,0,0,0.4864864864864865,94.87272727272727,50476,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.29729729729729,131.0,0,37,18,2860,2358
172.19.0.3,172.19.0.4,60978,9092,6,2025-11-23 14:26:22,6.042483,321.06006752522103,2.647918082682235,1.8204436818440366,0.8274744008381985,11,5,1486,454,220,66,135.0909090909091,64.66621226161668,107,80,90.8,13.227244611029162,220,66,121.25,57.88836238830738,3351.0625,220,100,20,6,0.4028322,2.631327,0.0,0.8432528557778465,6.042483,2.631327,0.0,0.6042483,0.9720636536747016,6.0419789999999995,2.632456,0.393478,1.5104947499999999,0.998007559582435,6,5,0,0,0,0,0,11,16,0,0,0.45454545454545453,121.25,63,50476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.0909090909091,90.8,0,11,5,1486,454
172.19.0.3,172.19.0.4,33416,9092,6,2025-11-23 14:26:24,0.108245,16139.313594161395,147.81283200147814,92.38302000092384,55.4298120005543,10,6,836,911,124,66,83.6,23.86294198123945,484,66,151.83333333333334,150.4132271074884,484,66,109.1875,99.65516717034797,9931.15234375,200,120,20,3,0.007216333333333333,0.063263,0.0,0.018052629487756686,0.10824500000000001,0.063263,0.0,0.012027222222222224,0.022122968345026885,0.108197,0.104406,0.000258,0.0216394,0.04138848906930525,3,3,0,0,2,3,0,6,14,0,0,0.6,109.1875,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.6,151.83333333333334,0,10,6,836,911
172.19.0.3,172.19.0.14,55284,80,6,2025-11-23 14:26:24,0.103654,12850.444748876069,106.12229146969726,67.53236729889827,38.58992417079901,7,4,635,697,223,66,90.71428571428571,54.1181624799298,491,66,174.25,182.90485914813746,491,66,121.0909090909091,125.07485362079964,15643.71900826446,140,80,20,1,0.0103654,0.102044,0.0,0.030561254588776295,0.103654,0.102044,0.0,0.017275666666666665,0.03791148401943078,0.103601,0.102288,0.000193,0.034533666666666664,0.04791104323871712,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,121.0909090909091,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.71428571428571,174.25,0,7,4,635,697
172.19.0.3,172.19.0.4,33430,9092,6,2025-11-23 14:26:24,4.403411,20866.323856664752,56.31997558256542,32.247727954533424,24.072247628031995,142,106,77199,14684,777,66,543.6549295774648,300.1353226668247,198,66,138.52830188679246,13.190339194266677,777,66,370.4959677419355,303.01881659320657,91820.40320954735,2840,2120,20,103,0.017827574898785427,0.171203,0.0,0.0410548023995519,4.403411,0.171203,0.0,0.031229865248226952,0.05051731032344433,4.403338,0.213048,0.000812,0.04193655238095239,0.07179518809634887,103,103,0,0,2,3,0,206,246,0,0,0.7464788732394366,370.4959677419355,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543.6549295774648,138.52830188679246,0,142,106,77199,14684
172.19.0.3,172.19.0.14,55298,80,6,2025-11-23 14:26:24,0.008091,165368.92843900633,1359.5352861203808,865.1588184402423,494.3764676801385,7,4,638,700,226,66,91.14285714285714,55.16579833667277,494,66,175.0,184.20369160253006,494,66,121.63636363636364,126.10477081831795,15902.413223140495,140,80,20,1,0.0008090999999999999,0.005558,0.0,0.001709743925270682,0.008091,0.005558,0.0,0.0013484999999999999,0.0020439734791169216,0.008037,0.005687,0.000145,0.0026790000000000004,0.0022872032412242396,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,121.63636363636364,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.14285714285714,175.0,0,7,4,638,700
172.19.0.3,172.19.0.14,55308,80,6,2025-11-23 14:26:24,0.007354,183301.60456894207,1495.7846070165895,951.8629317378297,543.9216752787598,7,4,643,705,231,66,91.85714285714286,56.912033805134165,499,66,176.25,186.36841873021297,499,66,122.54545454545455,127.82613449978459,16339.520661157021,140,80,20,1,0.0007354,0.005339,0.0,0.001617159497390409,0.007354,0.005339,0.0,0.0012256666666666668,0.0019421188314713278,0.007305,0.005496,6.8e-05,0.002435,0.002269658270900416,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,122.54545454545455,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.85714285714286,176.25,0,7,4,643,705
172.19.0.3,172.19.0.14,55324,80,6,2025-11-23 14:26:24,0.004742,332981.86419232393,2741.459299873471,1687.0518768452132,1054.407423028258,8,5,813,766,278,66,101.625,69.07231265130768,494,66,153.2,170.42816668614375,494,66,121.46153846153847,121.39611917800046,14737.017751479292,160,100,20,2,0.00039516666666666655,0.002387,0.0,0.000813159458873569,0.004742,0.002387,0.0,0.0006774285714285713,0.000981178861973531,0.004675,0.002439,4.9e-05,0.00116875,0.0010727213932331173,2,1,0,0,2,3,0,3,11,0,0,0.625,121.46153846153847,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.625,153.2,0,8,5,813,766
172.19.0.3,172.19.0.14,55338,80,6,2025-11-23 14:26:24,0.00335,469552.2388059701,3880.597014925373,2388.0597014925374,1492.5373134328358,8,5,810,763,275,66,101.25,68.11525159609997,491,66,152.6,169.22836641650832,491,66,121.0,120.39102956615996,14494.0,160,100,20,2,0.00027916666666666666,0.002208,0.0,0.0006364590630110384,0.0033499999999999997,0.002208,0.0,0.0004785714285714285,0.0007769165899600176,0.0033179999999999998,0.002267,1.1e-05,0.0008294999999999999,0.0009094120353283213,2,1,0,0,2,3,0,3,11,0,0,0.625,121.0,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.25,152.6,0,8,5,810,763
