src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.19.0.3,172.19.0.4,56834,9092,6,2025-11-23 13:25:58,0.0,0,0,0,0,2,0,132,0,66,66,66.0,0.0,0,0,0,0.0,66,66,66.0,0.0,0.0,40,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,66.0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,0,0,2,0,132,0
172.19.0.4,172.19.0.3,9092,41758,6,2025-11-23 13:25:58,9.052754,607.8813143492024,6.406890102172222,4.308081275598564,2.0988088265736593,39,19,3014,2489,88,66,77.28205128205128,10.996383363374218,131,131,131.0,0.0,131,66,94.87931034482759,26.775617824229627,716.9337098692033,780,380,20,20,0.1588202456140351,0.501716,0.0,0.23255215336148252,9.052754,0.501716,0.0,0.23823036842105264,0.24940514182491585,9.050968,0.503915,0.501721,0.5028315555555555,0.0005860998419137922,20,19,0,0,0,0,0,39,58,0,0,0.48717948717948717,94.87931034482759,50476,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.28205128205128,131.0,0,39,19,3014,2489
172.19.0.3,172.19.0.4,41760,9092,6,2025-11-23 13:25:59,6.058507,319.55067477845614,2.640914667590547,1.815628833968501,0.8252858336220459,11,5,1484,452,219,66,134.9090909090909,64.42819053440186,106,80,90.4,12.737346662472525,219,66,121.0,57.707235248277144,3330.125,220,100,20,6,0.40390046666666674,2.907609,0.0,0.8650997447422939,6.058507,2.907609,0.0,0.6058507,1.0001223344707435,6.058073,2.909068,0.147323,1.51451825,1.0621067234794193,6,5,0,0,0,0,0,11,16,0,0,0.45454545454545453,121.0,63,50476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.9090909090909,90.4,0,11,5,1484,452
